,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
8470,"New Chapter, Мультивитамины для мужчин, со вкусом ягод и цитрусовых, 75 жевательных таблеток",New Chapter,2025-02-01,75,шт.,0.24,3486,Здоровье мужчины,13.5,7.2,7.2,мультивитамин мужчина вкус ягода цитрусовый,9
8471,"Pure Essence, One 'n' Only Men, мультивитамины и минералы, 90 таблеток",Pure Essence,,90,шт.,0.38,10556,Здоровье мужчины,12.7,6.6,6.9,one only men мультивитамин минерал,9
8472,"Terry Naturally, Healthy PSA Levels, 60 мягких таблеток",Terry Naturally,2026-05-01,60,шт.,0.11,7167,Здоровье мужчины,12.2,6.4,6.4,healthy psa levels,9
8473,"ZOI Research, поддержка здоровья простаты, 90 вегетарианских капсул",ZOI Research,,90,шт.,0.07,2289,Здоровье мужчины,9.7,5.1,5.3,поддержка здоровье простата,9
8474,"Solgar, Gold Specifics, поддержка простаты, 60 растительных капсул",Solgar,2026-04-01,60,шт.,0.18,4848,Здоровье мужчины,5.8,5.8,9.9,gold specifics поддержка простата,9
8475,"Vital Nutrients, Prostate Health TX`` 90 вегетарианских капсул",Vital Nutrients,2025-06-01,90,шт.,0.09,8034,Здоровье мужчины,11.0,6.0,5.8,,9
8476,"Natural Balance, бета-ситостерол, для мужчин, 120 растительных капсул",Natural Balance,,120,шт.,0.18,3795,Здоровье мужчины,13.5,6.9,6.9,бета ситостерол мужчина,9
8477,"Azo, Для мужчин, защита простаты и мочевыводящих путей, 60 капсул",Azo,,60,шт.,0.09,6582,Здоровье мужчины,11.0,6.0,5.8,мужчина защита простата мочевыводящий путь,9
8478,"Applied Nutrition, Защита простаты, 50 мягких желатиновых капсул с жидкостью",Applied Nutrition,2024-11-01,50,шт.,0.11,3629,Здоровье мужчины,13.5,7.1,6.9,защита простата,9
8479,"Irwin Naturals, Active-Male, Testosterone-Extra Fat Burner MAX 3, 60 мягких таблеток",Irwin Naturals,2024-11-01,60,шт.,0.29,5582,Здоровье мужчины,12.2,6.4,6.4,active male testosterone extra fat burner max,9
8480,"NOW Foods, TestoJack 200, 60 вегетарианских капсул",NOW Foods,2026-05-01,60,шт.,0.09,3518,Здоровье мужчины,10.7,5.1,5.1,testojack,9
8481,"Performix, Super Male T, витамин для мужчин, 78 капсул",Performix,2026-03-01,78,шт.,0.16,14698,Здоровье мужчины,17.1,8.1,7.4,super male витамин мужчина,9
8482,"Snap Supplements, Testo Booster, 60 капсул",Snap Supplements,2025-02-01,60,шт.,0.09,4367,Здоровье мужчины,9.8,5.6,5.6,testo booster,9
8483,"Finaflex, PX for Him`` 60 капсул",Finaflex,2025-05-01,60,шт.,0.09,6680,Здоровье мужчины,13.8,6.5,6.4,,9
8484,"NaturesPlus, Ultra T-Male, Повышение тестостерона для мужчин, максимальная сила 60 таблеток",NaturesPlus,2027-09-01,60,шт.,0.16,6641,Здоровье мужчины,10.9,5.8,5.8,ultra male повышение тестостерон мужчина,9
8485,"Finaflex, Pure Test, 120 капсул",Finaflex,2025-07-01,120,шт.,0.14,3795,Здоровье мужчины,14.0,6.6,6.6,pure test,9
8486,"Natural Factors, AndroSense T-Correct, баланс тестостерона и эстрогена, 60 вегетарианских капсул",Natural Factors,,60,шт.,0.07,3625,Здоровье мужчины,5.8,5.8,10.4,androsense correct баланс тестостерон эстроген,9
8487,"NOW Foods, TestoJack 200, 120 растительных капсул",NOW Foods,,120,шт.,0.16,5788,Здоровье мужчины,6.9,6.9,11.9,testojack,9
8488,"Irwin Naturals, Testosterone UP, для мужчин старше 40 лет, 60 мягких таблеток",Irwin Naturals,2025-11-01,60,шт.,0.25,5898,Здоровье мужчины,12.2,6.4,6.4,testosterone мужчина старый год,9
8489,"MuscleTech, Test HD, мощный усилитель тестостерона, 90 капсул",MuscleTech,2025-06-01,90,шт.,0.18,6478,Здоровье мужчины,13.8,6.5,6.4,test мощный усилитель тестостерон,9
8490,"Super Nutrition, Testo Energy, 60 вегетарианских капсул",Super Nutrition,,60,шт.,0.08,3505,Здоровье мужчины,10.5,5.1,5.0,testo energy,9
8491,"Ancient Nutrition, Organic Super Greens, источник энергии, ашваганда и листья зеленого чая, 213 г (7,5 унции)",Ancient Nutrition,2025-06-01,212,г,0.29,6403,Зелень и суперфуды,17.1,14.6,9.5,organic super greens источник энергия ашваганда лист зеленый чай,10
8492,"Terrasoul Superfoods, необработанный цельный миндаль, непастеризованный, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.47,2762,Зелень и суперфуды,17.0,15.4,9.0,необработанный цельный миндаль непастеризованный,10
8493,"Terrasoul Superfoods, порошок из аронии, сублимированная, 113 г (4 унции)",Terrasoul Superfoods,,113,г,0.11,2762,Зелень и суперфуды,13.3,11.4,5.5,порошок арония сублимировать,10
8494,"Terrasoul Superfoods, порошок из красного гриба рейши, 156 г (5,5 унции)",Terrasoul Superfoods,,156,г,0.16,2915,Зелень и суперфуды,13.2,11.3,6.0,порошок красный гриб рейши,10
8495,"Terrasoul Superfoods, мука из аррорута, 454 г (16 унций)",Terrasoul Superfoods,2026-10-01,454,г,0.48,2110,Зелень и суперфуды,17.3,15.9,8.8,мука аррорут,10
8496,"Terrasoul Superfoods, сушеное манго, несульфированный, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.47,3210,Зелень и суперфуды,20.7,19.4,11.3,сушеный манго несульфировать,10
8497,"MRM Nutrition, органический порошок из зеленого банана, 240 г (8,5 унции)",MRM Nutrition,2026-08-01,240,г,0.27,2477,Зелень и суперфуды,14.9,11.9,7.6,органический порошок зеленый банан,10
8498,"Terrasoul Superfoods, необработанные цельные бразильские орехи, необжаренные, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.47,2762,Зелень и суперфуды,17.5,16.9,8.8,необработанный цельный бразильский орех необжаривать,10
8499,"Terrasoul Superfoods, порошок из рожкового дерева, слегка обжаренный, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.48,2195,Зелень и суперфуды,16.8,15.0,10.2,порошок рожковый дерево слегка обжаривать,10
8500,"Navitas Organics, Superfood+ Adaptogen Blend, Maca + Reishi + Ashwagandha, 6.3 oz (180 g)",Navitas Organics,2025-04-01,180,г,0.19,2421,Зелень и суперфуды,11.4,12.7,8.1,superfood adaptogen blend maca reishi ashwagandha,10
8501,"Advanced Orthomolecular Research AOR, Opti-Cholest, 60 капсул",Advanced Orthomolecular Research AOR,2024-12-01,60,шт.,0.05,5927,Зелень и суперфуды,9.7,5.2,5.2,opti cholest,10
8502,"Organic Traditions, Порошок из яблочной цедры, 100 г (3,5 унции)",Organic Traditions,2025-06-01,100,г,0.11,2379,Зелень и суперфуды,17.8,12.6,3.3,порошок яблочный цедра,10
8503,"Wilderness Poets, порошок из сублимированных плодов питайи, 99 г (3,5 унции)",Wilderness Poets,2025-04-01,100,г,0.11,2546,Зелень и суперфуды,14.4,12.3,2.3,порошок сублимировать плод питайя,10
8504,"Terrasoul Superfoods, трифала в порошке, три вида фруктов, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.46,2915,Зелень и суперфуды,17.5,13.3,9.1,трифал порошок вид фрукт,10
8505,"Wilderness Poets, порошок из сублимированных плодов питахайи, 340 г (12 унций)",Wilderness Poets,2025-03-01,340,г,0.38,6529,Зелень и суперфуды,17.8,16.3,4.6,порошок сублимировать плод питахайи,10
8506,"NaturesPlus, Биоперин 10, 90 вегетарианских капсул",NaturesPlus,2026-05-01,90,шт.,0.06,1818,Зелень и суперфуды,8.9,5.1,5.1,биоперин,10
8507,"Terrasoul Superfoods, порошок из куркумы, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.47,2605,Зелень и суперфуды,16.9,15.6,8.3,порошок куркума,10
8508,"310 Nutrition, Reds, смесь суперфудов, черная вишня, 219 г (7,73 унции)",310 Nutrition,2025-01-01,219.142,г,0.28,6291,Зелень и суперфуды,10.3,9.4,9.3,reds смесь суперфуд черный вишня,10
8509,"Terrasoul Superfoods, мака в порошке, желатинизированная, 454 г (16 унций)",Terrasoul Superfoods,,454,г,0.48,2915,Зелень и суперфуды,16.9,14.2,7.9,мак порошок желатинизированный,10
8510,"Zahler, iHerb, зелень, натуральный цитрус, 360 г (12,7 унции)",Zahler,2026-07-01,360,г,0.43,5499,Зелень и суперфуды,15.0,9.1,9.0,iherb зелень натуральный цитрус,10
8511,"Sunfood, Superfoods, смесь для приготовления блюд с органическим асаи и аристотелией, 170 г (6 унций)",Sunfood,2025-01-01,170,г,0.18,3351,Зелень и суперфуды,14.5,11.9,7.6,superfoods смесь приготовление блюдо органический асаи аристотелия,10
8512,"Nutricost, асаи, 2200 мг, 120 капсул",Nutricost,2026-10-01,120,шт.,0.11,2437,Зелень и суперфуды,11.0,6.0,6.0,асаи,10
8513,"Dynamic Health, Сертифицированное органическое золото асаи, 946 мл (32 жидк. Унции)",Dynamic Health,2025-01-01,946,мл,1.09,5582,Зелень и суперфуды,21.7,8.9,8.9,сертифицированный органический золото асаи,10
8514,"Sunfood, Органический порошок асаи, 113 г (4 унции)",Sunfood,2025-07-01,113,г,0.14,4290,Зелень и суперфуды,3.0,9.7,16.0,органический порошок асаи,10
8515,"Navitas Organics, Органический порошок асаи, 113 г (4 унции)",Navitas Organics,2025-04-01,113,г,0.12,2602,Зелень и суперфуды,10.0,13.2,5.5,органический порошок асаи,10
8516,"Irwin Naturals, Суперочищающее средство с ягодами асаи, 60 мягких таблеток",Irwin Naturals,2025-03-01,60,шт.,0.26,3489,Зелень и суперфуды,11.9,6.5,6.5,суперочищать средство ягода асаи,10
8517,"Force Factor, Fundamentals, асаи, 30 жевательных таблеток",Force Factor,2024-09-01,30,шт.,0.18,3094,Зелень и суперфуды,11.0,12.8,5.5,fundamentals асаи,10
8518,"Swanson, Ягоды асаи, 500 мг, 120 капсул",Swanson,2026-08-01,120,шт.,0.14,2025,Зелень и суперфуды,11.2,6.2,6.2,ягода асаи,10
8519,"Organic Traditions, Порошок из ягод асаи, 100 г (3,5 унции)",Organic Traditions,2025-06-01,100,г,0.11,3258,Зелень и суперфуды,17.5,12.4,3.7,порошок ягода асаи,10
8520,"Navitas Organics, Органический порошок асаи, 227 г",Navitas Organics,2025-05-01,227,г,0.24,4268,Зелень и суперфуды,15.7,12.1,6.4,органический порошок асаи,10
8521,"Emerald Laboratories, Ягоды асаи, 60 растительных капсул",Emerald Laboratories,2026-09-01,60,шт.,0.07,3458,Зелень и суперфуды,10.2,5.5,5.5,ягода асаи,10
8522,"BareOrganics, Лиофилизированные необработанные органические ягоды асаи, 114 г (4 унции)",BareOrganics,2025-03-01,113,г,0.18,2990,Зелень и суперфуды,10.5,10.4,7.5,лиофилизированный необработанный органический ягода асаи,10
8523,"Paradise Herbs, Асаи, 60 вегетарианских капсул",Paradise Herbs,,60,шт.,0.05,1397,Зелень и суперфуды,5.1,5.1,9.7,асаи,10
8524,"Terrasoul Superfoods, порошок асаи, сублимированный, 113 г (4 унции)",Terrasoul Superfoods,,113,г,0.12,2444,Зелень и суперфуды,13.5,11.9,4.4,порошок асаи сублимировать,10
8525,"NOW Foods, Жидкий концентрат асаи, 16 жидких унций (473 мл)",NOW Foods,2025-07-01,473,мл,0.57,2321,Зелень и суперфуды,6.9,6.9,18.5,жидкий концентрат асаи,10
8526,"Source Naturals, экстракт асаи, 500 мг, 120 капсул",Source Naturals,2026-07-01,120,шт.,0.11,2568,Зелень и суперфуды,11.2,6.1,6.0,экстракт асаи,10
8527,"Natrol, Acai Berry Diet, для коррекции веса, 60 вегетарианских капсул",Natrol,2024-07-01,60,шт.,0.07,1938,Зелень и суперфуды,10.9,5.0,5.0,acai berry diet коррекция вес,10
8528,"Natrol, ягоды асаи, 1000 мг, 75 растительных капсул (500 мг в 1 капсуле)",Natrol,2027-07-01,75,шт.,0.09,1820,Зелень и суперфуды,14.7,5.3,5.3,ягода асаи,10
8529,"KOS, Органический порошок сока асаи, 360 г (12,7 унции)",KOS,2025-08-01,360,г,0.45,5102,Зелень и суперфуды,13.5,11.3,11.2,органический порошок сок асаи,10
8530,"Wilderness Poets, порошок из органических бразильских ягод асаи, 99 г (3,5 унции)",Wilderness Poets,2025-01-01,100,г,0.11,2637,Зелень и суперфуды,13.7,11.2,3.0,порошок органический бразильский ягода асаи,10
8531,"MRM Nutrition, порошок из органического баобаба, 240 г (8,5 унции)",MRM Nutrition,2027-01-01,240,г,0.25,2790,Зелень и суперфуды,21.6,12.7,4.1,порошок органический баобаб,10
8532,"BetterBody Foods, Органический порошок баобаба, 170 г (6 унций)",BetterBody Foods,2025-07-01,170,г,0.18,1993,Зелень и суперфуды,16.5,11.3,6.9,органический порошок баобаб,10
8533,"Swanson, Экстракт фукоидана, 500 мг, 60 растительных капсул",Swanson,2024-12-01,60,шт.,0.07,4616,Зелень и суперфуды,10.5,5.0,5.0,экстракт фукоидан,10
8534,"Source Naturals, Сине-зеленые водоросли, 200 таблеток",Source Naturals,2027-08-01,200,шт.,0.17,8143,Зелень и суперфуды,6.1,6.1,10.9,сине-зеленый водоросль,10
8535,"Codeage, Amen, морской мох с витамином C, алоэ вера и черный перец, 90 растительных капсул",Codeage,2026-09-01,90,шт.,0.09,4290,Зелень и суперфуды,10.9,5.6,5.6,amen морской мох витамин алоэ вера черный перец,10
8536,"Umac-Core, морской фитопланктон, 56 мл (1,89 унции)",Umac-Core,,53.581,г,0.08,3730,Зелень и суперфуды,3.8,3.8,11.4,морской фитопланктон,10
8537,"BareOrganics, Порошок из органического ирландского морского мха, 227 г (8 унций)",BareOrganics,2026-08-01,227,г,0.29,4125,Зелень и суперфуды,11.2,10.5,10.4,порошок органический ирландский морской мох,10
8538,"NOW Foods, комплекс минералов из красных водорослей, 180 вегетарианских капсул",NOW Foods,2026-08-01,180,шт.,0.27,2715,Зелень и суперфуды,7.6,7.6,13.7,комплекс минерал красный водоросль,10
8539,"Life Extension, Оптимизированный фукоидан с Maritech 926, 60 вегетарианских капсул",Life Extension,2025-12-01,60,шт.,0.05,4618,Зелень и суперфуды,11.0,5.0,5.0,оптимизировать фукоидан maritech,10
8540,"Pure Synergy, сине-зеленые водоросли, 90 капсул",Pure Synergy,2026-05-01,90,шт.,0.2,5870,Зелень и суперфуды,11.0,6.0,6.0,сине-зеленый водоросль,10
8541,"Pure Synergy, SuperPure, фукоидан, 60 капсул",Pure Synergy,2026-04-01,60,шт.,0.16,5678,Зелень и суперфуды,9.5,5.3,5.2,superpure фукоидан,10
8542,"Pure Synergy, Organic Pure Klamath Crystals, сине-зеленые водоросли, 90 г (3,2 унции)",Pure Synergy,2026-05-01,91,г,0.33,8259,Зелень и суперфуды,7.4,7.4,13.7,organic pure klamath crystals сине-зеленый водоросль,10
8543,"Swanson, Морские минералы: Красные морские водоросли, 60 растительных капсул",Swanson,2025-10-01,60,шт.,0.11,1563,Зелень и суперфуды,10.5,4.8,4.8,морской минерал красный морской водоросль,10
8544,"Solaray, True Herbs, водоросли, 550 мг, 100 растительных капсул",Solaray,2027-04-01,100,шт.,0.09,1850,Зелень и суперфуды,10.9,5.0,5.0,true herbs водоросль,10
8545,"Nutricost, Ламинария, 325 мкг, 240 таблеток",Nutricost,2026-07-01,240,шт.,0.09,2272,Зелень и суперфуды,9.7,5.2,5.2,ламинария мкг,10
8546,"Christopher's Original Formulas, Kelp-T, порошок, 16 унций",Christopher's Original Formulas,2028-02-01,454,г,0.48,5384,Зелень и суперфуды,19.1,16.5,11.9,kelp порошок,10
8547,"World Organic, Liqui-Kelp, бурые водоросли, 59 мл (2 жидк. унции)",World Organic,,59,мл,0.07,1090,Зелень и суперфуды,10.4,3.7,3.7,liqui kelp бурый водоросль,10
8548,"Nature's Way, Водоросли, цельный слоевище, 600 мг, 100 веганских капсул",Nature's Way,2027-06-01,100,шт.,0.09,2195,Зелень и суперфуды,12.4,10.7,4.6,водоросль цельный слоевище,10
8549,"KAL, Ламинария`` 250 таблеток",KAL,2026-06-01,250,шт.,0.13,1938,Зелень и суперфуды,6.2,6.4,11.4,,10
8550,"Nutricost, бурые водоросли, 325 мг, 120 капсул",Nutricost,2026-09-01,120,шт.,0.11,2756,Зелень и суперфуды,11.6,6.2,6.2,бурый водоросль,10
8551,"Swanson, Кудрявая капуста Full Spectrum, 400 мг, 60 растительных капсул",Swanson,2026-09-01,60,шт.,0.06,1246,Зелень и суперфуды,8.8,4.4,4.6,кудрявый капуста full spectrum,10
8552,"NOW Foods, келп, 250 растительных капсул",NOW Foods,2026-11-01,250,шт.,0.14,2114,Зелень и суперфуды,13.2,7.4,7.4,келп,10
8553,"NOW Foods, Органическая ламинария, чистый порошок, 227 г. (8 унций)",NOW Foods,2026-09-01,227,г,0.28,1684,Зелень и суперфуды,13.3,7.2,7.2,органический ламинария чистый порошок,10
8554,"Swanson, Шотландские водоросли, из органических морских водорослей, 750 мг, 30 растительных капсул",Swanson,2025-11-01,30,шт.,0.05,2395,Зелень и суперфуды,8.9,4.7,4.6,шотландский водоросль органический морской водоросль,10
8555,"Country Life, Arctic-Kelp, арктические бурые водоросли, 225 мкг, 300 таблеток",Country Life,2025-02-01,300,шт.,0.27,2153,Зелень и суперфуды,11.2,6.1,6.0,arctic kelp арктический бурый водоросль мкг,10
8556,"Swanson, Ламинария`` 250 таблеток",Swanson,2025-06-01,250,шт.,0.12,1544,Зелень и суперфуды,10.5,5.0,5.0,,10
8557,"Starwest Botanicals, Органический порошок бурых водорослей, 453,6 г (1 фунт)",Starwest Botanicals,2026-04-01,454,г,0.48,1943,Зелень и суперфуды,25.9,17.5,1.8,органический порошок бурый водоросль,10
8558,"NOW Foods, бурые водоросли, 150 мкг, 200 таблеток",NOW Foods,2027-08-01,200,шт.,0.07,1574,Зелень и суперфуды,12.2,7.1,7.1,бурый водоросль мкг,10
8559,"NaturesPlus, исландские бурые водоросли, 300 таблеток",NaturesPlus,2027-06-01,300,шт.,0.2,1892,Зелень и суперфуды,12.6,6.6,6.5,исландский бурый водоросль,10
8560,"Solaray, True Herbs, водоросли, 550 мг, 180 растительных капсул",Solaray,2027-07-01,180,шт.,0.18,2762,Зелень и суперфуды,11.6,6.4,6.4,true herbs водоросль,10
8561,"Nature's Life, Icelandic Kelp (Исландские бурые водоросли), 500 таблеток",Nature's Life,2027-03-01,500,шт.,0.2,2110,Зелень и суперфуды,6.4,6.4,11.4,icelandic kelp исландский бурый водоросль,10
8562,"Starwest Botanicals, Органический порошок из водорослей, 70 г (2,47 унции)",Starwest Botanicals,2026-02-01,70.023,г,0.07,989,Зелень и суперфуды,12.7,10.3,3.3,органический порошок водоросль,10
8563,"Oregons Wild Harvest, органические бурые водоросли, 90 органических веганских капсул",Oregons Wild Harvest,2026-12-01,90,шт.,0.2,2757,Зелень и суперфуды,10.2,5.5,5.5,органический бурый водоросль,10
8564,"Nature's Way, бурые водоросли, цельный таллом, 600 мг, 180 вегетарианских капсул",Nature's Way,2027-06-01,180,шт.,0.16,2444,Зелень и суперфуды,13.0,6.6,6.6,бурый водоросль цельный таллом,10
8565,"Natural Factors, жидкие водоросли, 800 мкг, 50 мл (1,6 жидк. унции)",Natural Factors,2026-08-01,47.318,мл,0.14,2602,Зелень и суперфуды,4.1,4.1,11.7,жидкий водоросль мкг,10
8566,"Starwest Botanicals, Гранулы из органических водорослей, 453,6 г (1 фунт)",Starwest Botanicals,2026-10-01,454,г,0.48,1997,Зелень и суперфуды,28.7,20.1,3.0,гранула органический водоросль,10
8567,"Nature's Answer, Бурая водоросль, 100 капсул",Nature's Answer,2026-04-01,100,шт.,0.23,2025,Зелень и суперфуды,11.7,6.4,6.4,бурый водоросль,10
8568,"Nature's Life, Исландская бурая водоросль, 250 таблеток",Nature's Life,2027-04-01,250,шт.,0.1,1581,Зелень и суперфуды,9.4,4.8,4.8,исландский бурый водоросль,10
8569,"Nature's Life, исландские бурые водоросли, 1000 таблеток",Nature's Life,2027-04-01,1000,шт.,0.37,3489,Зелень и суперфуды,15.7,8.1,8.1,исландский бурый водоросль,10
8570,"California Gold Nutrition, Superfoods, органический порошок спирулины, 240 г (8,5 унции)",California Gold Nutrition,2026-11-01,240,г,0.25,2697,Зелень и суперфуды,16.4,14.5,5.2,superfoods органический порошок спирулина,10
8571,"NOW Foods, Сертифицированный органический порошок из спирулины, чистый, 113 г (4 унции)",NOW Foods,2025-09-01,113,г,0.17,1793,Зелень и суперфуды,11.9,6.7,6.9,сертифицировать органический порошок спирулина чистый,10
8572,"Source Naturals, Спирулина, 500 мг, 500 таблеток",Source Naturals,2025-12-01,500,шт.,0.41,5082,Зелень и суперфуды,16.3,8.1,8.1,спирулина,10
8573,"Earth Circle Organics, Органический порошок из спирулины, 113 г (4 унции)",Earth Circle Organics,2025-04-01,113,г,0.14,1535,Зелень и суперфуды,18.5,12.2,1.8,органический порошок спирулина,10
8574,"Organika, Органическая спирулина, сине-зеленые водоросли, 500 г (17,64 унции)",Organika,2025-08-01,500,г,0.58,6517,Зелень и суперфуды,17.4,9.3,9.1,органический спирулина сине-зеленый водоросль,10
8575,"HealthForce Superfoods, Спирулина и манна, 150 веганских капсул",HealthForce Superfoods,2025-08-01,150,шт.,0.25,3954,Зелень и суперфуды,11.9,5.8,6.6,спирулина манн,10
8576,"HealthForce Superfoods, Спирулина манна, 450 веганских капсул",HealthForce Superfoods,2025-08-01,450,шт.,0.59,7440,Зелень и суперфуды,16.5,9.1,9.1,спирулина манн,10
8577,"Nutrex Hawaii, Pure Hawaiian Spirulina, порошок, 454 г (16 унций)",Nutrex Hawaii,2025-09-01,454,г,0.88,6859,Зелень и суперфуды,18.2,9.8,9.8,pure hawaiian spirulina порошок,10
8578,"BareOrganics, Органическая спирулина в порошке, 227 г (8 унций)",BareOrganics,2026-10-01,227,г,0.32,3489,Зелень и суперфуды,11.2,10.5,10.4,органический спирулин порошок,10
8579,"HealthForce Superfoods, Спирулина и манна, 149 г (5,25 унции)",HealthForce Superfoods,2025-10-01,149,г,0.41,3954,Зелень и суперфуды,13.7,7.6,7.4,спирулина манн,10
8580,"Nutrex Hawaii, Pure Hawaiian Spirulina, 100 таблеток",Nutrex Hawaii,2025-06-01,100,шт.,0.18,2085,Зелень и суперфуды,5.6,5.6,10.2,pure hawaiian spirulina,10
8581,"Nutricost, органическая спирулина, без добавок, 454 г (16 унций)",Nutricost,,454,г,0.54,3484,Зелень и суперфуды,13.6,11.3,11.2,органический спирулина добавка,10
8582,"Nutrex Hawaii, Pure Hawaiian Spirulina, порошок, 142 г (5 унций)",Nutrex Hawaii,2026-03-01,141.7,г,0.38,2930,Зелень и суперфуды,13.2,6.7,6.7,pure hawaiian spirulina порошок,10
8583,"NOW Foods, сертифицированная органическая спирулина, 1000 мг, 240 таблеток",NOW Foods,2027-10-01,240,шт.,0.32,4005,Зелень и суперфуды,13.6,7.7,7.7,сертифицированный органический спирулин,10
8584,"Nutrex Hawaii, Pure Hawaiian Spirulina, 200 таблеток",Nutrex Hawaii,2026-07-01,200,шт.,0.27,2930,Зелень и суперфуды,11.4,6.0,6.0,pure hawaiian spirulina,10
8585,"MaryRuth's, жевательные таблетки со спирулиной, со вкусом клубничного лимонада, 90 жевательных таблеток",MaryRuth's,2025-07-01,Not provided,Not provided,0.25,4283,Зелень и суперфуды,12.8,6.5,6.5,жевательный таблетка спирулина вкус клубничный лимонад,10
8586,"NOW Foods, сертифицированная органическая спирулина, двойная сила действия, 1000 мг, 120 таблеток",NOW Foods,2027-08-01,120,шт.,0.16,2520,Зелень и суперфуды,6.1,6.1,11.2,сертифицированный органический спирулин двойной сила действие,10
8587,"Nutrex Hawaii, чистая гавайская спирулина, 3 г, 400 таблеток (50 мг в 1 таблетке)",Nutrex Hawaii,2026-06-01,400,шт.,0.45,4665,Зелень и суперфуды,14.1,7.4,7.4,чистый гавайский спирулина,10
8588,"EVLution Nutrition, Spirulina, 500 mg, 180 Tablets",EVLution Nutrition,2024-12-01,180,шт.,0.16,950,Зелень и суперфуды,11.0,5.8,5.8,spirulina,10
8589,"Nutricost, органическая спирулина, без добавок, 454 г (16,2 унции)",Nutricost,2026-11-01,454,г,0.54,3484,Зелень и суперфуды,13.5,11.3,11.3,органический спирулина добавка,10
8590,"Dr. Mercola, органическая спирулина, 2000 мг, 120 таблеток (1000 мг в 1 таблетке)",Dr. Mercola,2025-11-01,120,шт.,0.16,3489,Зелень и суперфуды,9.0,5.0,4.8,органический спирулина,10
8591,"Pure Planet, Red Marine Algae Plus, 90 вегетарианских капсул",Pure Planet,2025-11-01,90,шт.,0.18,5894,Зелень и суперфуды,10.4,5.6,5.6,red marine algae plus,10
8592,"Nutrex Hawaii, Pure Hawaiian Spirulina, колосистая мята, 1000 мг, 180 таблеток",Nutrex Hawaii,2025-01-01,180,шт.,0.43,4650,Зелень и суперфуды,14.0,7.4,7.6,pure hawaiian spirulina колосистый мята,10
8593,"California Gold Nutrition, органическая спирулина, сертификат USDA Organic, 500 мг, 240 таблеток",California Gold Nutrition,,240,шт.,0.16,2380,Зелень и суперфуды,10.9,6.0,6.0,органический спирулина сертификат usda organic,10
8594,"Nutricost, спирулина, 3000 мг, 180 капсул (500 мг в 1 капсуле)",Nutricost,2027-01-01,180,шт.,0.18,2756,Зелень и суперфуды,13.5,7.2,7.1,спирулина,10
8595,"NOW Foods, сертифицированная органическая спирулина, 3000 мг, 500 таблеток (500 мг в 1 таблетке)",NOW Foods,2026-08-01,500,шт.,0.32,3599,Зелень и суперфуды,13.7,7.7,7.7,сертифицированный органический спирулин,10
8596,"Terrasoul Superfoods, порошок из голубой спирулины, фикоцианин, 28 г (1 унция)",Terrasoul Superfoods,,28,г,0.2,3489,Зелень и суперфуды,10.5,5.6,5.6,порошок голубой спирулина фикоцианин,10
8597,"HealthForce Superfoods, Spirulina Manna, 453,5 г (16 унций)",HealthForce Superfoods,2025-09-01,454,г,0.86,7440,Зелень и суперфуды,18.0,9.8,9.7,spirulina manna,10
8598,"MRM Nutrition, Порошок необработанной спирулины, 240 г (8,5 унции)",MRM Nutrition,2026-05-01,240,г,0.25,3088,Зелень и суперфуды,5.1,14.0,24.8,порошок необработанный спирулина,10
8599,"Terrasoul Superfoods, спирулина в порошке, 170 г (6 унций)",Terrasoul Superfoods,,170,г,0.18,2444,Зелень и суперфуды,13.1,10.9,5.5,спирулина порошок,10
8600,"Nutricost, Органическая спурулина, 500 мг, 240 таблеток",Nutricost,2026-12-01,240,шт.,0.16,2437,Зелень и суперфуды,11.2,6.0,5.8,органический спурулина,10
8601,"Starwest Botanicals, органический порошок из спирулины, 453,6 г (1 фунт)",Starwest Botanicals,2025-04-01,454,г,0.48,4746,Зелень и суперфуды,22.1,15.5,2.5,органический порошок спирулина,10
8602,"Swanson, Spirulina, 500 mg, 180 Tablets",Swanson,,180,шт.,0.17,1303,Зелень и суперфуды,11.2,6.2,6.4,spirulina,10
8603,"Solaray, True Herbs, спирулина, 410 мг, 100 вегетарианских капсул",Solaray,2026-10-01,100,шт.,0.07,2444,Зелень и суперфуды,10.9,5.0,4.8,true herbs спирулин,10
8604,"Nutrex Hawaii, чистая гавайская спирулина, 3 г, 180 таблеток (1 г в 1 таблетке)",Nutrex Hawaii,2026-08-01,180,шт.,0.43,4650,Зелень и суперфуды,14.1,7.4,7.4,чистый гавайский спирулина,10
8605,"Swanson, Сертифицированная органическая спирулина, 500 мг, 180 таблеток",Swanson,2026-01-01,180,шт.,0.13,1761,Зелень и суперфуды,10.5,4.8,5.0,сертифицированный органический спирулин,10
8606,"Starwest Botanicals, Органическая спирулина в порошке, 70 г (2,47 унции)",Starwest Botanicals,2026-01-01,70.023,г,0.07,1348,Зелень и суперфуды,13.6,8.0,5.8,органический спирулин порошок,10
